idiom,number of hits,number of hits per million tokens,log number of hits,,log number of hits per million tokens,
meat and potatoes,9267,0.15,3.96693916302111,,0.59845554018506,
up a tree,9333,0.15,3.97002126582837,,0.59879283311253,
take no prisoners,9349,0.15,3.97076515978077,,0.598874202645037,
jump through hoops,9350,0.15,3.97081161087252,,0.598879283110392,
twist someone's arm,9378,0.15,3.97211022840283,,0.599021291918726,
blue blood,9530,0.15,3.97909290063833,,0.599784078820578,
burst someone's bubble,9551,0.16,3.98004884506496,,0.599888401976203,
fill someone's shoes,9646,0.16,3.98434725758586,,0.600357182533062,
look on the bright side,9853,0.16,3.99356848278973,,0.601361136231286,
knock someone's socks off,9982,0.16,3.9992175655301,,0.601975031275051,
take a dive,10130,0.16,4.00560944536028,,0.602668602472891,
down the tubes,10168,0.17,4.00723553754595,,0.602844870171693,
feel the pinch,10193,0.17,4.008302024212,,0.602960438035546,
swan song,10393,0.17,4.01674092728626,,0.60387382140596,
pass the buck,10578,0.17,4.02440356268297,,0.604701524795965,
rule the roost,10792,0.18,4.03310193666385,,0.605639198940705,
six feet under,10867,0.18,4.03610966706058,,0.605962958147676,
sitting duck,11234,0.18,4.05053441954012,,0.607512326954302,
rise from the ashes,11237,0.18,4.05065038086391,,0.607524760040148,
make a killing,11310,0.18,4.05346260492546,,0.607826170803539,
turn the other cheek,11353,0.18,4.05511063785415,,0.608002707808349,
rough around the edges,11364,0.18,4.0555312250509,,0.608047749545355,
walk all over,11441,0.19,4.05846398560225,,0.608361696435043,
under the weather,11602,0.19,4.06453286113158,,0.609010639108266,
old flame,11828,0.19,4.07291131585408,,0.609904953799595,
on the mend,11871,0.19,4.07448730498569,,0.61007296899654,
gravy train,12023,0.2,4.08001284710793,,0.61066153059461,
slap on the wrist,12037,0.2,4.08051826052712,,0.610715325686233,
toe the line,12268,0.2,4.08877376731045,,0.611593081616505,
don't hold your breath,12548,0.2,4.09857451002571,,0.612632834749922,
dead in the water,12668,0.21,4.10270805469987,,0.613070614031524,
neither here nor there,12920,0.21,4.11126251365907,,0.613975208376952,
smoke screen,13021,0.21,4.11464433890228,,0.614332301680088,
oil and water,13081,0.21,4.11664094566113,,0.614542989388005,
take a hike,13207,0.21,4.1208041778408,,0.614981977178357,
play with fire,13238,0.21,4.12182237675219,,0.615089272630363,
on a shoestring,13364,0.22,4.12593646696609,,0.615522536225964,
open the floodgates,13399,0.22,4.12707238711946,,0.61564208628736,
cut and dried,13401,0.22,4.1271372071915,,0.61564890729167,
spit it out,13613,0.22,4.13395384451796,,0.61636562343228,
all bets are off,13625,0.22,4.13433651094868,,0.61640582277513,
see eye to eye,13633,0.22,4.13459143471088,,0.616432600607514,
off and running,13670,0.22,4.13576851456782,,0.616556222624746,
free and easy,13706,0.22,4.13691072748138,,0.616676149133234,
down to the wire,13721,0.22,4.13738576433397,,0.616726015822012,
out to lunch,13794,0.22,4.13969022165292,,0.616967843521783,
hit the jackpot,13838,0.22,4.14107332626748,,0.617112920652438,
acid test,13956,0.23,4.14476096077607,,0.617499488707897,
pick someone's brain,13981,0.23,4.14553823571223,,0.617580925145518,
in the raw,14180,0.23,4.15167623084705,,0.618223477634431,
all over the map,14223,0.23,4.15299121003862,,0.61836101191032,
hot potato,14539,0.24,4.16253453654936,,0.619357849870673,
get away with murder,14677,0.24,4.16663729423181,,0.619785696768872,
nest egg,14771,0.24,4.1694098981407,,0.620074593075419,
jump on the bandwagon,15173,0.25,4.18107145782262,,0.621287590050499,
moment of truth,15276,0.25,4.18400964970128,,0.621592677486174,
black and blue,15407,0.25,4.1877180825676,,0.62197743726031,
heart of gold,15529,0.25,4.1911434899549,,0.622332529798018,
rock the boat,16049,0.26,4.20544797705168,,0.623812264961269,
pack a punch,16081,0.26,4.20631305193596,,0.623901591619196,
kicking and screaming,16153,0.26,4.20825319307269,,0.624101861622472,
sing the praises of,16388,0.27,4.21452595528111,,0.624748732796243,
run out of steam,16607,0.27,4.22029118566516,,0.625342416830115,
apples and oranges,16742,0.27,4.22380733759278,,0.625704100309708,
spill the beans,17260,0.28,4.23704079137919,,0.627062645116311,
on the square,17300,0.28,4.2380461031288,,0.627165676826293,
head over heels,17558,0.29,4.24447504468901,,0.627823984499219,
melting pot,17562,0.29,4.24457397281744,,0.627834106702588,
all hell broke loose,17577,0.29,4.24494475272718,,0.627872042343962,
break the ice,18034,0.29,4.25609206533901,,0.62901101379739,
crash and burn,18177,0.3,4.25952220721619,,0.629360886800627,
ivory tower,18407,0.3,4.26498301231646,,0.629917305685977,
night owl,18604,0.3,4.26960633083948,,0.630387833754359,
take the cake,18723,0.3,4.27237543730055,break here,0.630669409559744,
in cold blood,18840,0.31,4.27508089845686,,0.630944337408281,
out of the loop,19142,0.31,4.2819873118936,,0.631645376087154,
dark horse,19298,0.31,4.28551230206624,,0.632002746133516,
force someone's hand,19321,0.31,4.28602960050819,,0.632055166074213,
on the back burner,19405,0.32,4.28791364707603,,0.632246030654863,
smoke and mirrors,19622,0.32,4.29274327137707,,0.632734916162123,
hold the line,19870,0.32,4.29819786710982,,0.633286404318748,
in the offing,19965,0.32,4.30026931453036,,0.633495655149784,
to the hilt,20035,0.33,4.30178934676872,,0.633649139715816,
grind to a halt,20707,0.34,4.31611718349891,,0.635093227358434,
snake oil,20708,0.34,4.31613815630982,,0.635095337670442,
top dog,20985,0.34,4.32190897354751,,0.635675615693375,
pick up the pieces,20993,0.34,4.32207450577378,,0.635692249166271,
get under someone's skin,21054,0.34,4.32333461859905,,0.635818850473992,
for a song,21148,0.34,4.32526930173307,,0.636013152868018,
fall from grace,21929,0.36,4.34101882755604,,0.637591669433716,
short and sweet,22158,0.36,4.34553055803462,,0.638042808255336,
in your dreams,22447,0.36,4.35115830656403,,0.638604884353739,
glass ceiling,22602,0.37,4.35414687058691,,0.63890307422498,
smoking gun,22682,0.37,4.35568134610572,,0.639056100034617,
no strings attached,22772,0.37,4.35740117513951,,0.639227546194359,
fun and games,23101,0.38,4.36363078011214,,0.639847996512186,
get a life,23216,0.38,4.36578739509366,,0.6400625826361,
on the ropes,23498,0.38,4.37103089946633,,0.640583876592669,
make a splash,23550,0.38,4.37199091146492,,0.640679250463224,
go the distance,23765,0.39,4.37593781863078,,0.641071142114817,
point the finger,24160,0.39,4.38309692994909,,0.641781074960724,
under the microscope,24255,0.39,4.38480127896208,,0.641949915739498,
get it up,24452,0.4,4.38831438711774,,0.642297733692881,
light at the end of the tunnel,24591,0.4,4.39077618980628,,0.642541300459125,
tip the scales,24639,0.4,4.39162307754698,,0.642625058590022,
hit the nail on the head,24688,0.4,4.39248590871907,,0.642710376934466,
pipe dream,24777,0.4,4.39404872083266,,0.642864868030889,
ring a bell,24865,0.4,4.395588464,,0.6429
have a ball,24871,0.4,4.39569324750358,,0.643027377663011,
doom and gloom,24978,0.41,4.39755766127042,,0.643211542684902,
par for the course,25063,0.41,4.3990330541069,,0.643357225255403,
the icing on the cake,25085,0.41,4.39941410536377,,0.643394842906628,
over the moon,25754,0.42,4.41084469135838,,0.644521766263216,
out of the woods,25848,0.42,4.41242694500959,,0.644677527995458,
look the part,26030,0.42,4.41547416810924,,0.644977348352054,
in the final analysis,26282,0.43,4.41965841096058,,0.645388704650531,
stay the course,26594,0.43,4.42478366441982,,0.645892042119619,
against the grain,26812,0.44,4.42832921072169,,0.64623989971463,
fall in line,27580,0.45,4.44059426183983,,0.647441093395702,
drop the ball,28152,0.46,4.44950925382714,,0.648312114327526,
take a bath,28206,0.46,4.4503415015719,,0.648393338297256,
go to town,28268,0.46,4.45129508264269,,0.648486385231886,
in the driver's seat,28545,0.46,4.4555300473427,,0.648899376822499,
keep the peace,28673,0.47,4.45747313470736,,0.649088734352494,
up the river,29090,0.47,4.46374372124706,,0.649699252317686,
go with the flow,29238,0.47,4.46594766176494,,0.64991362909371,
join the club,29406,0.48,4.46843595289627,,0.650155537474245,
rock bottom,30711,0.5,4.48729395800644,,0.651984520649285,
strike a chord,30790,0.5,4.4884096889032,,0.652092491186929,
fly in the face of,30892,0.5,4.48984602616633,,0.652231447655234,
out of the picture,30944,0.5,4.49057645240291,,0.652302094684467,
take a back seat,31093,0.5,4.49266262685469,,0.652503806797657,
over the hill,31479,0.51,4.4980209275822,,0.653021471711513,
far and away,31565,0.51,4.49920579366337,,0.653135858248557,
get off the ground,31733,0.52,4.50151113172403,,0.653358328442622,
turn the tables,31832,0.52,4.50286392613833,,0.653488823041065,
get a grip,32682,0.53,4.51430862565678,,0.654591246774952,
tie the knot,33490,0.54,4.52491514753987,,0.655610439607359,
up the ante,33694,0.55,4.52755257152753,,0.655863501811443,
sick and tired,34267,0.56,4.53487608457354,,0.656565424467517,
by the book,34774,0.56,4.54125464978626,,0.6571758555447,
look the other way,35878,0.58,4.55482822553223,,0.658472003238729,
push the envelope,36000,0.58,4.55630250076729,,0.658612549922607,
watch this space,36101,0.59,4.55751923205709,,0.658728509989361,
in the clear,36104,0.59,4.55755532051209,,0.658731948911726,
with a vengeance,36231,0.59,4.55908032102014,,0.658877243587912,
rocket science,36236,0.59,4.55914025098586,,0.658882952432792,
get to grips with,36657,0.6,4.56415691952532,,0.659360567409723,
silver bullet,36802,0.6,4.56587142099313,,0.659523677206903,
song and dance,36818,0.6,4.56606019338704,,0.65954163240247,
on a roll,36856,0.6,4.56650819924462,,0.659584241767898,
under the table,37079,0.6,4.56912801294985,,0.659833325825222,
on the button,37338,0.61,4.57215105136811,,0.660120569862354,
down the drain,38130,0.62,4.58126680527367,,0.660985585092812,
fast and furious,39544,0.64,4.59708059745272,,0.662482118003546,
get the picture,41250,0.67,4.61542395288594,,0.664211599607314,
keep tabs on,41917,0.68,4.62239019262862,,0.664866603054165,
with open arms,42941,0.7,4.63287215396667,,0.665850315831714,
see the light of day,42949,0.7,4.63295305642016,,0.665857899719458,
in bed with,43317,0.7,4.63665837111668,,0.666205098267034,
left and right,43440,0.71,4.63788981658079,,0.666320426790245,
bells and whistles,44612,0.72,4.64945169352841,,0.667401739875869,
nuts and bolts,44932,0.73,4.65255575021182,,0.667691585857462,
pull the plug,45041,0.73,4.6536080241537,,0.667789799639088,
in the loop,45082,0.73,4.65400317466991,,0.667826675199348,
get to the bottom of,45679,0.74,4.65971658781144,,0.668359502936218,
grass root,46070,0.75,4.66341821225268,,0.668704364442108,
out of order,46167,0.75,4.66433165436971,,0.668789423084955,
scratch the surface,46268,0.75,4.66528072690996,,0.668877781947409,
out of line,47800,0.78,4.67942789661212,,0.67019275979802,
to the bone,47862,0.78,4.67999084243487,,0.670245003269873,
go the extra mile,50261,0.82,4.70123112512726,,0.672211602794288,
in the hole,52675,0.86,4.72160454428014,,0.67408961014022,
push someone's buttons,52948,0.86,4.72384956018726,,0.67429605824273,
under the sun,53209,0.86,4.72598509695211,,0.674492347782667,
off the hook,55813,0.91,4.74673536687125,,0.676395020235074,
night and day,56620,0.92,4.75296986502908,,0.676965060772127,
in your face,56761,0.92,4.75405003813597,,0.677063748526358,
make the cut,57981,0.94,4.76328570137318,,0.677906631229974,
in the bag,59138,0.96,4.77186663294541,,0.678688297239446,
one of those things,59145,0.96,4.7719180361289,,0.678692975492303,
flea market,59582,0.97,4.7751150771668,,0.678983842260355,
big fish,59694,0.97,4.77593068124925,,0.679058014735756,
in black and white,60987,0.99,4.78523727058528,,0.679903476648112,
in the black,62226,1.01,4.79397188464571,,0.680695482684905,
silver lining,62396,1.01,4.79515674940023,,0.680802808438254,
make a move,62840,1.02,4.79823617636794,,0.681081620782496,
out of the blue,64035,1.04,4.80641741385963,,0.681821484458729,
on the nose,64773,1.05,4.81139401212682,,0.682270923372272,
behind closed doors,65870,1.07,4.81868766344151,,0.682928777216359,
on the rocks,68142,1.11,4.83341487616783,,0.684254074405864,
to die for,70284,1.14,4.84685647007558,,0.685460159153932,
in the red,75170,1.22,4.8760445502461,,0.688067664919613,
on the ball,75960,1.23,4.88058495606498,,0.688471876913891,
guinea pig,76237,1.24,4.88216579805682,,0.688612523946087,
up in the air,76788,1.25,4.88529335621672,,0.688890647719249,
have a heart,77275,1.25,4.88803901373534,,0.689134663556585,
low profile,77413,1.26,4.88881389807546,,0.689203505339675,
black box,77852,1.26,4.89126977397295,,0.68942161663784,
close to home,82597,1.34,4.9169642736266,,0.691697052743447,
break someone's heart,82823,1.34,4.91815095738888,,0.691801854812384,
heart and soul,84116,1.37,4.92487861233536,,0.692395530540714,
get stuck in,84292,1.37,4.92578635848331,,0.692475571663889,
on the same page,86875,1.41,4.93889481759817,,0.693629777199587,
up to speed,88805,1.44,4.94843741860831,,0.694468082244767,
follow in someone's footsteps,90488,1.47,4.95659098937836,,0.69518308303976,
on the cards,95613,1.55,4.98051694504211,,0.697274422022305,
to the tune of,96751,1.57,4.98565546249961,,0.697722262955303,
on the game,106201,1.72,5.0261286061281,,0.701233596914177,
go all the way,108836,1.77,5.03677257197349,,0.70215234137452,
see the light,112315,1.82,5.05043776144578,,0.70332902349303,
behind someone's back,112502,1.83,5.05116024316954,,0.703391146302966,
hold someone's hand,113612,1.84,5.0554242051298,,0.703757603491293,
on the fly,116352,1.89,5.06577385286984,,0.704645798039814,
in a nutshell,118644,1.93,5.07424578020377,,0.705371499228069,
on the shelf,123345,2,5.09112154931484,,0.706813465838469,
out of the box,166443,2.7,5.22126553499705,,0.717775780445254,
across the board,168725,2.74,5.22717943681343,,0.718267408664874,
with a view to,171613,2.79,5.23455018336361,,0.718879367719471,
do the right thing,193767,3.15,5.28727981534512,,0.723232294903817,
all over the place,194399,3.16,5.2886940265594,,0.723348441963076,
face to face,207467,3.37,5.31694902703532,,0.725662496804041,
over the top,263446,4.28,5.42069160890192,,0.734054700333185,
at the end of the day,298779,4.85,5.47535006936618,,0.738411891244347,
on and off,310319,5.04,5.49180836708445,,0.739715374418724,
behind the scenes,318323,5.17,5.50286801911806,,0.740589096809684,
down the road,332920,5.41,5.52233988596091,,0.742123132845562,
on the back of,361918,5.88,5.55861018329133,,0.744966218708177,
have someone's number,429083,6.97,5.63254130839787,,0.750704385472382,
have a few,641559,10.42,5.80723660178061,,0.763969520669875,
